Period,Age Group,Number employed (thousands)
2019-10-01,16-24 ,0.0
2019-11-01,16-24 ,25.339000000000002
2019-12-01,16-24 ,55.63399999999999
2020-01-01,16-24 ,59.418
2020-01-02,16-24 ,27.741
2020-01-03,16-24 ,-9.836
2020-01-04,16-24 ,-7.901
2020-01-05,16-24 ,-72.293
2020-01-06,16-24 ,-159.94
2020-01-07,16-24 ,-228.07299999999998
2020-01-08,16-24 ,-246.40200000000002
2020-01-09,16-24 ,-250.24099999999999
2020-01-10,16-24 ,-203.585
2019-10-01,25-34,0.0
2019-11-01,25-34,2.421
2019-12-01,25-34,3.47
2020-01-01,25-34,27.629
2020-01-02,25-34,19.711
2020-01-03,25-34,-13.475
2020-01-04,25-34,-14.585
2020-01-05,25-34,-6.67
2020-01-06,25-34,39.872
2020-01-07,25-34,15.120999999999999
2020-01-08,25-34,-2.394
2020-01-09,25-34,-15.987
2020-01-10,25-34,-21.32
2019-10-01,35-49,0.0
2019-11-01,35-49,14.927999999999999
2019-12-01,35-49,-10.585999999999999
2020-01-01,35-49,4.438
2020-01-02,35-49,-32.208
2020-01-03,35-49,-66.589
2020-01-04,35-49,-75.834
2020-01-05,35-49,-67.08800000000001
2020-01-06,35-49,-61.205
2020-01-07,35-49,-56.107
2020-01-08,35-49,-88.133
2020-01-09,35-49,-60.216
2020-01-10,35-49,-121.13799999999999
2019-10-01,50-64,0.0
2019-11-01,50-64,17.096
2019-12-01,50-64,11.443
2020-01-01,50-64,18.291
2020-01-02,50-64,8.663
2020-01-03,50-64,-10.837
2020-01-04,50-64,-42.216
2020-01-05,50-64,-15.630999999999998
2020-01-06,50-64,0.08
2020-01-07,50-64,-0.063
2020-01-08,50-64,-54.726000000000006
2020-01-09,50-64,-67.987
2020-01-10,50-64,-60.56
2019-10-01,65+ ,0.0
2019-11-01,65+ ,-27.136999999999997
2019-12-01,65+ ,24.093000000000004
2020-01-01,65+ ,62.31
2020-01-02,65+ ,80.5
2020-01-03,65+ ,39.835
2020-01-04,65+ ,-16.838
2020-01-05,65+ ,-68.47
2020-01-06,65+ ,-54.338
2020-01-07,65+ ,-41.236000000000004
2020-01-08,65+ ,-2.613
2020-01-09,65+ ,15.222000000000001
2020-01-10,65+ ,8.685
