year,gdpPercap,country,region
1952,1070,Afghanistan,Asia
1952,2010,Albania,Europe
1952,4100,Algeria,Africa
1952,8160,Andorra,Europe
1952,3340,Angola,Africa
1952,3640,Antigua and Barbuda,Americas
1952,7800,Argentina,Americas
1952,1920,Armenia,Europe
1952,12100,Australia,Asia
1952,7410,Austria,Europe
1952,3760,Azerbaijan,Europe
1952,11100,Bahamas,Americas
1952,17400,Bahrain,Asia
1952,1050,Bangladesh,Asia
1952,3350,Barbados,Americas
1952,2950,Belarus,Europe
1952,10700,Belgium,Europe
1952,1890,Belize,Americas
1952,1240,Benin,Africa
1952,868,Bhutan,Asia
1952,3390,Bolivia,Americas
1952,1150,Bosnia and Herzegovina,Europe
1952,864,Botswana,Africa
1952,3190,Brazil,Americas
1952,58500,Brunei,Asia
1952,3160,Bulgaria,Europe
1952,550,Burkina Faso,Africa
1952,542,Burundi,Africa
1952,1160,Cambodia,Asia
1952,1540,Cameroon,Africa
1952,12900,Canada,Americas
1952,798,Cape Verde,Africa
1952,1270,Central African Republic,Africa
1952,1280,Chad,Africa
1952,5450,Chile,Americas
1952,632,China,Asia
1952,3200,Colombia,Americas
1952,848,Comoros,Africa
1952,1850,"Congo, Dem. Rep.",Africa
1952,1900,"Congo, Rep.",Africa
1952,3270,Costa Rica,Americas
1952,2120,Cote d'Ivoire,Africa
1952,4560,Croatia,Europe
1952,9620,Cuba,Americas
1952,4020,Cyprus,Europe
1952,8360,Czech Republic,Europe
1952,12100,Denmark,Europe
1952,3290,Djibouti,Africa
1952,2210,Dominica,Americas
1952,2360,Dominican Republic,Americas
1952,3730,Ecuador,Americas
1952,1800,Egypt,Africa
1952,3560,El Salvador,Americas
1952,506,Equatorial Guinea,Africa
1952,831,Eritrea,Africa
1952,5300,Estonia,Europe
1952,593,Ethiopia,Africa
1952,2920,Fiji,Asia
1952,7950,Finland,Europe
1952,8450,France,Europe
1952,773,Gabon,Africa
1952,1030,Gambia,Africa
1952,2430,Georgia,Europe
1952,8540,Germany,Europe
1952,1630,Ghana,Africa
1952,4040,Greece,Europe
1952,1730,Grenada,Americas
1952,3000,Guatemala,Americas
1952,653,Guinea,Africa
1952,901,Guinea-Bissau,Africa
1952,3850,Guyana,Americas
1952,2370,Haiti,Americas
1952,2470,Honduras,Americas
1952,6670,Hungary,Europe
1952,8180,Iceland,Europe
1952,907,India,Asia
1952,1550,Indonesia,Asia
1952,3930,Iran,Asia
1952,3460,Iraq,Asia
1952,6560,Ireland,Europe
1952,4520,Israel,Asia
1952,7060,Italy,Europe
1952,3040,Jamaica,Americas
1952,3060,Japan,Asia
1952,3020,Jordan,Asia
1952,6260,Kazakhstan,Asia
1952,1880,Kenya,Africa
1952,2170,Kiribati,Asia
1952,7340,Kuwait,Asia
1952,2380,Kyrgyz Republic,Asia
1952,1160,Lao,Asia
1952,4090,Latvia,Europe
1952,7360,Lebanon,Asia
1952,460,Lesotho,Africa
1952,1560,Liberia,Africa
1952,5870,Libya,Africa
1952,6780,Lithuania,Europe
1952,18600,Luxembourg,Europe
1952,2380,"Macedonia, FYR",Europe
1952,2000,Madagascar,Africa
1952,435,Malawi,Africa
1952,2830,Malaysia,Asia
1952,908,Maldives,Asia
1952,721,Mali,Africa
1952,2600,Malta,Europe
1952,1420,Marshall Islands,Asia
1952,1270,Mauritania,Africa
1952,2480,Mauritius,Africa
1952,4660,Mexico,Americas
1952,1210,"Micronesia, Fed. Sts.",Asia
1952,2800,Moldova,Europe
1952,919,Mongolia,Asia
1952,3860,Montenegro,Europe
1952,2100,Morocco,Africa
1952,423,Mozambique,Africa
1952,694,Myanmar,Asia
1952,3900,Namibia,Africa
1952,828,Nepal,Asia
1952,9580,Netherlands,Europe
1952,13300,New Zealand,Asia
1952,4130,Nicaragua,Americas
1952,994,Niger,Africa
1952,2980,Nigeria,Africa
1952,784,North Korea,Asia
1952,12300,Norway,Europe
1952,3290,Oman,Asia
1952,1110,Pakistan,Asia
1952,1260,Palestine,Asia
1952,3220,Panama,Americas
