Size,Year
1,2000
1,2010
1,2020
2,2000
2,2010
2,2020
3,2000
3,2010
3,2020
4,2000
4,2010
4,2020
5,2000
5,2010
5,2020
6,2000
6,2010
6,2020
7,2000
7,2010
7,2020
8,2000
8,2010
8,2020
9,2000
9,2010
9,2020
10,2000
10,2010
10,2020
11,2000
11,2010
11,2020
12,2000
12,2010
12,2020
13,2000
13,2010
13,2020
14,2000
14,2010
14,2020
15,2000
15,2010
15,2020
16,2000
16,2010
16,2020
17,2000
17,2010
17,2020
18,2000
18,2010
18,2020
19,2000
19,2010
19,2020
20,2000
20,2010
20,2020
21,2000
21,2010
21,2020
22,2000
22,2010
22,2020
23,2000
23,2010
23,2020
24,2000
24,2010
24,2020
25,2000
25,2010
25,2020
