quantity,item,time
2.0,monkey,0
6.192962712629476,monkey,1
9.30037210271847,monkey,2
13.097596309015797,monkey,3
12.71068609258575,monkey,4
16.194870523363548,monkey,5
17.580936309501134,monkey,6
24.888381054913122,monkey,7
27.13058987556147,monkey,8
26.317280693371046,monkey,9
26.45580618665162,monkey,10
29.55190884598056,monkey,11
32.610188015018984,monkey,12
37.63440373999379,monkey,13
36.62768266080517,monkey,14
41.59266228400805,monkey,15
40.53159496449108,monkey,16
41.44642466614132,monkey,17
47.338844810888254,monkey,18
46.21034266761982,monkey,19
1.0,slipper,0
9.743276393803367,slipper,1
9.258523872989459,slipper,2
13.42287530066645,slipper,3
18.378925219250924,slipper,4
19.189151347155786,slipper,5
22.888381054913122,slipper,6
25.498670948012276,slipper,7
25.03516289842348,slipper,8
27.508850275948053,slipper,9
30.928050775697603,slipper,10
33.299260572778856,slipper,11
34.62768266080517,slipper,12
42.9175705807045,slipper,13
40.17246133441246,slipper,14
42.39533859324643,slipper,15
48.58875032686557,slipper,16
47.75489563854074,slipper,17
50.89569020671064,slipper,18
50.012816499808885,slipper,19
3.0,broom,0
4.623898318388478,broom,1
7.309573444801933,broom,2
8.727161387290321,broom,3
14.98560543306118,broom,4
17.132639022018836,broom,5
19.194870523363548,broom,6
17.189151347155786,broom,7
22.127049995800743,broom,8
24.016965485301043,broom,9
24.86525259636632,broom,10
25.676874454922782,broom,11
29.45580618665162,broom,12
31.205297528345778,broom,13
32.9280507756976,broom,14
31.626345475706252,broom,15
34.30212829607493,broom,16
35.95707936800063,broom,17
36.59266228400805,broom,18
38.210162462449645,broom,19
