Increase/Decrease?,year,CAF,Country
Increase,2017,19,Afghanistan
Increase,2017,26,Albania
Increase,2017,28,Algeria
Increase,2017,28,Argentina
Increase,2017,23,Armenia
Decrease,2017,59,Australia
Increase,2017,44,Austria
Increase,2017,26,Benin
Increase,2017,28,Bolivia (Plurinational State of)
Increase,2017,28,Bosnia and Herzegovina
Increase,2017,23,Brazil
Increase,2017,22,Bulgaria
Increase,2017,29,Burkina Faso
Increase,2017,18,Cambodia
Increase,2017,34,Cameroon
Increase,2017,49,Canada
Increase,2017,34,Chile
Increase,2017,17,China
Increase,2017,29,Colombia
Increase,2017,34,Costa Rica
Increase,2017,20,Croatia
Decrease,2017,43,Cyprus
Increase,2017,22,Czechia
Neither,2017,46,Denmark
Increase,2017,39,Dominican Republic
Increase,2017,24,Ecuador
Decrease,2017,26,Egypt
Increase,2017,22,El Salvador
Increase,2017,26,Estonia
Decrease,2017,40,Finland
Neither,2017,32,France
Increase,2017,24,Gabon
Increase,2017,24,Georgia
Decrease,2017,46,Germany
Increase,2017,42,Ghana
Increase,2017,17,Greece
Increase,2017,32,Guinea
Increase,2017,39,Honduras
Decrease,2017,44,Hong Kong
Increase,2017,23,Hungary
Decrease,2017,48,Iceland
Increase,2017,22,India
Increase,2017,59,Indonesia
Decrease,2017,45,Iran (Islamic Republic of)
Decrease,2017,43,Iraq
Decrease,2017,56,Ireland
Decrease,2017,42,Israel
Decrease,2017,33,Italy
Increase,2017,36,Jamaica
Decrease,2017,22,Japan
Increase,2017,30,Jordan
Increase,2017,28,Kazakhstan
Increase,2017,54,Kenya
Increase,2017,33,Kosovo
Increase,2017,36,Kyrgyzstan
Increase,2017,19,Latvia
Decrease,2017,28,Lebanon
Increase,2017,19,Lithuania
Increase,2017,35,Malawi
Increase,2017,28,Mali
Decrease,2017,47,Malta
Decrease,2017,46,Mauritius
Increase,2017,24,Mexico
Increase,2017,39,Mongolia
Increase,2017,26,Morocco
Increase,2017,29,Mozambique
Decrease,2017,54,Myanmar
Increase,2017,32,Namibia
Increase,2017,37,Nepal
Decrease,2017,51,Netherlands
Decrease,2017,58,New Zealand
Increase,2017,33,Nicaragua
Neither,2017,48,Nigeria
Decrease,2017,50,Norway
Increase,2017,28,Pakistan
Increase,2017,30,Panama
Increase,2017,34,Paraguay
Increase,2017,27,Peru
Increase,2017,28,Philippines
Increase,2017,24,Poland
Decrease,2017,28,Portugal
Increase,2017,27,Romania
Increase,2017,25,Russian Federation
